,CN_焦煤,CN_螺纹钢,CN_PMI,CN_PPI同比,CN_用电量同比,CN_工业增加值同比,CN_固定资产投资同比,CN_房地产开发,CN_社融同比,CN_LPR1Y,CN_社零同比,CN_CPI同比,CN_两融余额(沪)
1996-02-01,,,,,,,,,,,,2.1,
1996-03-01,,,,,,,,,,,,2.3,
1996-04-01,,,,,,,,,,,,0.6,
1996-05-01,,,,,,,,,,,,0.7,
1996-06-01,,,,,,,,,,,,-0.5,
1996-07-01,,,,,,,,,,,,-1.6,
1996-08-01,,,,,,,,,,,,-0.8,
1996-09-01,,,,,,,,,,,,1.5,
1996-10-01,,,,,,,,,,,,1.5,
1996-11-01,,,,,,,,,,,,-0.2,
1996-12-01,,,,,,,,,,,,-0.1,
1997-01-01,,,,,,,,,,,,0.7,
1997-02-01,,,,,,,,,,,,1.1,
1997-03-01,,,,,,,,,,,,2.0,
1997-04-01,,,,,,,,,,,,-1.1,
1997-05-01,,,,,,,,,,,,-0.2,
1997-06-01,,,,,,,,,,,,-0.9,
1997-07-01,,,,,,,,,,,,-1.7,
1997-08-01,,,,,,,,,,,,-1.2,
1997-09-01,,,,,,,,,,,,0.6,
1997-10-01,,,,,,,,,,,,1.7,
1997-11-01,,,,,,,,,,,,-0.6,
1997-12-01,,,,,,,,,,,,-0.3,
1998-01-01,,,,,,,,,,,,0.1,
1998-02-01,,,,,,,,0.39553753,,,,0.7,
1998-03-01,,,,,,,,0.06061218,,,,1.5,
1998-04-01,,,,,,,,1.77688036,,,,-0.5,
1998-05-01,,,,,,,,0.86300962,,,,-0.8,
1998-06-01,,,,,,,,1.23918175,,,,-1.4,
1998-07-01,,,,,,,,0.78686614,,,,-1.8,
1998-08-01,,,,,,,,0.18313253,,,,-1.3,
1998-09-01,,,,,,,,-0.47142582,,,,0.8,
1998-10-01,,,,,,,,0.15466409,,,,1.6,
1998-11-01,,,,,,,,0.10616736,,,,-0.3,
1998-12-01,,,,,,,,-0.08677208,,,,-0.3,
1999-01-01,,,,,,,,1.12901669,,,,0.2,
1999-02-01,,,,,,,,0.07633588,,,,0.2,
1999-03-01,,,,,,,,-0.46720061,,,,1.3,
1999-04-01,,,,,,,,-0.47897308,,,,-0.8,
1999-05-01,,,,,,,,-0.5871595,,,,-1.0,
1999-06-01,,,,,,,,-1.03601859,,,,-1.3,
1999-07-01,,,,,,,,-0.5478916,,,,-1.8,
1999-08-01,,,,,,,,-0.35415642,,,,-0.9,
1999-09-01,,,,,,,,-0.36528779,,,,1.0,
1999-10-01,,,,,,,,-0.04954419,,,,2.0,
1999-11-01,,,,,,,,0.23793001,,,,0.0,
1999-12-01,,,,,,,,0.34615765,,,,-0.6,
2000-01-01,,,,,,,,0.76877587,,,,0.0,
2000-02-01,,,,,,,,0.32276995,,,,0.9,
2000-03-01,,,,,,,,-0.73120796,,,,1.9,
2000-04-01,,,,,,,,0.02946376,,,,-1.6,
2000-05-01,,,,,,,,0.34364261,,,,-0.9,
2000-06-01,,,,,,,,0.47945205,,,,-1.0,
2000-07-01,,,,,,,,0.24345116,,,,-1.5,
2000-08-01,,,,,,,,0.36914708,,,,-0.8,
2000-09-01,,,,,,,,0.19357336,,,,1.0,
2000-10-01,,,,,,,,-0.08693972,,,,1.6,
2000-11-01,,,,,,,,0.24170937,,,,-0.1,
2000-12-01,,,,,,,,0.30864198,,,,0.7,
2001-01-01,,,,,,,,1.17307692,,,,0.1,
2001-02-01,,,,,,,,-0.19007793,,,,0.9,
2001-03-01,,,,,,,,1.07598553,,,,0.1,
2001-04-01,,,,,,,,0.68770608,,,,-0.6,
2001-05-01,,,,,,,,-0.34618263,,,,0.2,
2001-06-01,,,,,,,,-0.46943949,,,,-0.5,
2001-07-01,,,,,,,,0.40562211,,,,-1.2,
2001-08-01,,,,,,,,-0.07515971,,,,-0.5,
2001-09-01,,,,,,,,-0.47950357,,,,0.1,
2001-10-01,,,,,,,,-0.20784128,,,,0.9,
2001-11-01,,,,,,,,-0.5017514,,,,0.3,
2001-12-01,,,,,,,,0.16175071,,,,-0.2,
2002-01-01,,,,,,,,-1.29191603,,,,0.1,
2002-02-01,,,,,,,,-0.36570109,,,,0.3,
2002-03-01,,,,,,,,0.32840722,,,,1.1,
2002-04-01,,,,,,,,0.70280158,,,,-1.3,
2002-05-01,,,,,,,,-0.21988528,,,,-0.3,
2002-06-01,,,,,,,,0.26827632,,,,-0.3,
2002-07-01,,,,,,,,-0.34400382,,,,-0.9,
2002-08-01,,,,,,,,0.163007,,,,-0.7,
2002-09-01,,,,,,,,0.48822516,,,,0.3,
2002-10-01,,,,,,,,0.17147757,,,,1.0,
2002-11-01,,,,,,,,-0.23775559,,,,0.2,
2002-12-01,,,,,,,,-0.68636797,,,,-0.1,
2003-01-01,,,,,,,,4.52102131,,,,0.3,
2003-02-01,,,,,,,,0.23050785,,,,1.1,
2003-03-01,,,,,,,,-1.65290771,,,,0.9,
2003-04-01,,,,,,,,-0.41737705,,,,-0.6,
2003-05-01,,,,,,,,-0.56694328,,,,-0.2,
2003-06-01,,,,,,,,0.71224937,,,,-0.7,
2003-07-01,,,,,,,,0.21393871,,,,-1.2,
2003-08-01,,,,,,,,-0.35797854,,,,-0.5,
2003-09-01,,,,,,,,-0.22079805,,,,0.7,
2003-10-01,,,,,,,,0.01969076,,,,1.2,
2003-11-01,,,,,,,,-0.23530515,,,,0.9,
2003-12-01,,,,,15.29,,,-0.17384114,,,,1.0,
2004-01-01,,,,,,,,0.33510929,,,,0.6,
2004-02-01,,,,,,,,1.00478469,,,,1.1,
2004-03-01,,,,,15.7,,,-1.353322,,,,-0.2,
2004-04-01,,,,,,,,-0.40676434,,,,0.3,
2004-05-01,,,,,,,,0.13803275,,,,0.5,
2004-06-01,,,,,,,,-0.69393304,,,,-0.1,
2004-07-01,,,,,,,,0.05989561,,,,-0.7,
2004-08-01,,,,,,,,-0.08266347,,,,-0.2,
2004-09-01,,,,,14.92,,,-0.3157124,,,,0.7,
2004-10-01,,,,,15.17,,,0.04292787,,,,1.1,
2004-11-01,,,,,15.13,,,0.20310474,,,,0.0,
2004-12-01,,,,,,,,0.2245801,,,,-0.3,
2005-01-01,,,,,,,,-2.08980165,,,,0.1,
2005-02-01,,,,,13.01,,,-0.39662529,,,,0.6,
2005-03-01,,,,,13.38,,,-0.27163595,,,,1.8,
2005-04-01,,,,,13.46,,,-0.16401125,,,,-0.9,
2005-05-01,,,,,13.98,,,-0.09094109,,,,-0.3,
2005-06-01,,,,,13.91,,,-0.08515136,,,,-0.2,
2005-07-01,,,,,,,,-0.10873398,,,,-0.8,
2005-08-01,,,,,14.12,,,-0.20691752,,,,0.0,
2005-09-01,,,,,13.95,,,-0.33313025,,,,0.2,
2005-10-01,,,,,13.75,,,-0.40030368,,,,0.7,
2005-11-01,,,,,13.19,,,-0.32766762,,,,0.4,
2005-12-01,,,,,,,,-0.07746857,,,,-0.3,
2006-01-01,,,,3.05,,,,0.15108142,,,,0.4,
2006-02-01,,,,3.01,11.7,,,0.28682017,,,,1.3,
2006-03-01,,,,2.49,11.81,,,0.40376451,,,,0.5,
2006-04-01,,,,1.87,12.33,,,0.1508028,,,,-0.9,
2006-05-01,,,,2.43,12.54,,,0.25588033,,,,0.2,
2006-06-01,,,,3.52,12.89,,,1.04054187,,,,-0.1,
2006-07-01,,,,3.58,13.26,,,0.56348975,,,,-0.5,
2006-08-01,,,,3.4,13.71,,,-0.19321805,,,,-0.3,
2006-09-01,,,,3.45,13.7,,,-0.16455329,,,,0.3,
2006-10-01,,,,2.9,14.05,,,0.25208455,,,,0.5,
2006-11-01,,,,2.78,14.15,,,0.50290135,,,,0.1,
2006-12-01,,,,3.05,14.0,,,-0.92378753,,,,0.3,
2007-01-01,,,,3.3,,,,-0.52447552,,,,1.4,
2007-02-01,,,,2.6,16.75,,,-0.62487795,,,,0.7,
2007-03-01,,,,2.65,14.92,,,-0.55020633,,,,1.0,
2007-04-01,,,,2.87,15.47,,,1.41276428,,,,-0.3,
2007-05-01,,,,2.76,15.83,,,0.65270336,,,,-0.1,
2007-06-01,,,,2.49,15.56,,,0.30003871,,,,0.3,
2007-07-01,,,,2.39,15.68,,,0.35703947,,,,0.4,
2007-08-01,,,,2.56,15.2,,,0.46153846,,,,0.9,
2007-09-01,,,,2.71,15.12,,,0.4881317,,,,1.2,
2007-10-01,,,,3.21,15.0,,,0.71435375,,,,0.3,
2007-11-01,,,,4.55,14.94,,,0.80385852,,,,0.3,
2007-12-01,,,,5.43,14.42,,,-0.1313444,,,,0.7,
2008-01-01,,,53.0,6.07,,,,-0.31939878,,,21.2,1.0,
2008-02-01,,,53.4,6.62,11.93,15.4,,-0.52775422,,,19.1,1.2,
2008-03-01,,,58.4,7.95,13.04,17.8,,-0.78635718,,,21.5,2.6,
2008-04-01,,,59.2,8.12,12.71,15.7,,-0.62070283,,,22.0,-0.7,
2008-05-01,,,53.3,8.22,12.42,16.0,,-0.70145095,,,21.6,0.1,
2008-06-01,,,52.0,8.84,11.67,16.0,,-0.25159667,,,23.0,-0.4,
2008-07-01,,,48.4,10.03,10.91,14.7,,-0.69848661,,,23.3,-0.2,
2008-08-01,,,48.4,10.06,10.19,12.8,,-0.56662759,,,23.2,0.1,
2008-09-01,,,51.2,9.13,9.67,11.4,,-0.61898212,,,23.2,-0.1,
2008-10-01,,,44.6,6.59,8.27,8.2,,-1.4532872,,,22.0,0.0,
2008-11-01,,,38.8,1.99,6.67,5.4,,-1.22391653,,,20.8,-0.3,
2008-12-01,,,41.2,-1.14,5.23,5.7,,-2.03128174,,,19.0,-0.8,
2009-01-01,,,45.3,-3.35,,,,,,,18.5,-0.2,
2009-02-01,,,49.0,-4.47,-5.22,11.0,,-1.65871864,,,11.6,0.9,
2009-03-01,,3549.0,52.4,-5.99,-4.02,8.3,,-0.12650221,,,14.7,0.0,
2009-04-01,,3553.0,53.5,-6.6,-4.03,7.3,,0.02111041,,,14.8,-0.3,
2009-05-01,,3610.0,53.1,-7.2,-3.66,8.9,,1.24525116,,,15.2,-0.2,
2009-06-01,,3826.0,53.2,-7.8,-2.24,10.7,,0.63581405,,,15.0,-0.3,
2009-07-01,,4627.0,53.3,-8.22,-0.89,10.8,,1.51216986,,,15.2,-0.5,
2009-08-01,,4120.0,54.0,-7.86,0.36,12.3,,2.11202938,,,15.4,0.0,
2009-09-01,,3735.0,54.3,-6.99,1.4,13.9,,0.99920064,,,15.5,0.5,
2009-10-01,,3875.0,55.2,-5.85,2.79,16.1,,0.93984962,,,16.2,0.4,
2009-11-01,,4375.0,55.2,-2.08,4.77,19.2,,0.73507792,,,15.8,-0.1,
2009-12-01,,4511.0,56.6,1.7,5.96,18.5,,0.8561977,,,17.5,0.3,
2010-01-01,,4300.0,55.8,4.32,40.14,,,,,,14.0,1.0,
2010-02-01,,4214.0,52.0,5.39,25.95,12.8,,1.746093,,,22.1,0.6,
2010-03-01,,4755.0,55.1,5.91,24.19,18.1,,0.3982175,,,18.0,1.2,
2010-04-01,,4635.0,55.7,6.81,23.85,17.8,,-0.21720654,,,18.5,-0.7,
2010-05-01,,4215.0,53.9,7.13,23.31,16.5,,-0.55839485,,,18.7,0.2,
2010-06-01,,3985.0,52.1,6.41,21.57,13.7,,-0.00951746,,,18.3,-0.1,
2010-07-01,,4285.0,51.2,4.84,20.25,13.4,,-0.3236246,,,17.9,-0.6,
2010-08-01,,4312.0,51.7,4.32,19.34,13.9,,-0.58250573,,,18.4,0.4,
2010-09-01,,4263.0,53.8,4.33,18.05,13.3,,-0.56670829,,,18.8,0.6,
2010-10-01,,4505.0,54.7,5.04,,13.1,,0.04829985,,,18.6,0.6,
2010-11-01,,4634.0,55.2,6.06,,13.3,,-0.35724631,,,18.7,0.7,
2010-12-01,,4812.0,53.9,5.93,14.56,13.5,,-1.36627907,,,19.1,1.1,
2011-01-01,,5100.0,52.9,6.6436,,,,,,,19.9,0.5,
2011-02-01,,4899.0,52.2,7.2322,12.32,14.9,,1.0904804,,,11.6,1.0,
2011-03-01,,4794.0,53.4,7.3081,13.41,14.8,,0.07725948,,,17.4,1.2,
2011-04-01,,4915.0,52.9,6.821,11.23,13.4,,0.20440962,,,17.1,-0.2,
2011-05-01,,4875.0,52.0,6.7851,10.79,13.3,,0.00969086,,,16.9,0.1,
2011-06-01,,4753.0,50.9,7.1209,13.0,15.1,,-1.40503876,,,17.7,0.1,
2011-07-01,,4919.0,50.7,7.5417,11.81,14.0,,-0.24570025,,,17.2,0.3,
2011-08-01,,4831.0,50.9,7.2528,9.09,13.5,,-0.37438424,,,17.0,0.5,
2011-09-01,,4339.0,51.2,6.5227,11.95,13.8,,-0.70213608,,,17.7,0.3,
2011-10-01,,4123.0,50.4,5.0038,11.87,13.2,,-0.13942834,,,17.2,0.5,
2011-11-01,,4075.0,49.0,2.7179,11.85,12.4,,-0.39892291,,,17.3,0.1,
2011-12-01,,4210.0,50.3,1.6854,11.74,12.8,,-0.98127566,,,18.1,-0.2,
2012-01-01,,4297.0,50.5,0.7347,,,,,,,,0.3,
2012-02-01,,4295.0,51.0,0.0284,6.66,21.3,,-1.01122459,,,,1.5,
2012-03-01,,4324.0,53.1,-0.3171,6.8,11.9,,-0.99090816,,,15.2,-0.1,
2012-04-01,,4269.0,53.3,-0.6984,6.0,9.3,,-1.34131242,,,14.1,0.2,
2012-05-01,,4103.0,50.4,-1.3981,5.8,9.6,,-0.75298055,,,13.8,-0.1,
2012-06-01,,4067.0,50.2,-2.0843,5.5,9.5,,-0.20021075,,,13.7,-0.3,
2012-07-01,,3772.0,50.1,-2.8651,5.4,9.2,,-0.14781966,,,13.1,-0.6,
2012-08-01,,3411.0,49.2,-3.4784,5.1,8.9,,0.07401925,,,13.2,0.1,
2012-09-01,,3597.0,49.8,-3.5545,4.8,9.2,,-0.26415892,,,14.2,0.6,
2012-10-01,,3634.0,50.2,-2.7558,4.9,9.6,,0.18010382,,,14.5,0.3,
2012-11-01,,3495.0,50.6,-2.1995,5.1,10.1,,1.21615905,,,14.9,-0.1,
2012-12-01,,3988.0,50.6,-1.9397,5.5,10.3,,-0.12537875,,,15.2,0.1,
2013-01-01,,4127.0,50.4,-1.6372,,,,,,,,0.8,
2013-02-01,,4053.0,50.1,-1.6254,5.48,9.9,,2.43749346,,,,1.0,
2013-03-01,1240.0,3810.0,50.9,-1.919,4.25,8.9,21.52,-0.36764706,,,12.6,1.1,
2013-04-01,1138.0,3600.0,50.6,-2.6175,4.86,9.3,19.84,-0.21525215,,,12.8,-0.9,
2013-05-01,1094.0,3416.0,50.8,-2.8658,4.88,9.2,19.68,-0.09244992,,,12.9,0.2,
2013-06-01,1052.0,3488.0,50.1,-2.6965,5.14,8.9,19.91,0.03084516,,,13.3,-0.6,
2013-07-01,1059.0,3644.0,50.3,-2.2712,5.7,9.7,20.25,0.10278549,,,13.2,0.0,
2013-08-01,1134.0,3753.0,51.0,-1.625,6.8,10.4,21.43,-0.10267995,,,13.4,0.1,
2013-09-01,1137.0,3587.0,51.1,-1.3439,7.2,10.2,19.64,-0.04111419,,,13.3,0.5,
2013-10-01,1068.0,3636.0,51.4,-1.5071,7.4,10.3,19.24,-0.38046272,,5.72,13.3,0.8,
2013-11-01,1113.0,3670.0,51.4,-1.4242,7.5,10.0,17.57,-0.51610239,,5.73,13.7,0.1,
2013-12-01,1005.0,3570.0,51.0,-1.3557,7.5,9.7,17.22,0.86117452,,5.73,13.6,-0.1,
2014-01-01,928.0,3455.0,50.5,-1.6394,,,,,,5.73,,0.3,
2014-02-01,915.0,3318.0,50.2,-2.0182,4.5,8.6,,-0.30861023,,5.76,,1.0,
2014-03-01,836.0,3328.0,50.3,-2.3022,5.4,8.8,17.34,-0.52626148,,5.76,12.2,0.5,
2014-04-01,821.0,3227.0,50.4,-2.0042,5.2,8.7,16.64,-0.63278008,,5.77,11.9,-0.5,
2014-05-01,820.0,3056.0,50.8,-1.4464,5.2,8.8,16.91,-0.80384174,,5.77,12.5,-0.3,
2014-06-01,805.0,3076.0,51.0,-1.1086,5.3,9.2,17.86,-0.1894338,,5.76,12.4,0.1,
2014-07-01,786.0,3069.0,51.7,-0.8688,4.9,9.0,15.64,-0.02108815,,5.76,12.2,-0.1,
2014-08-01,792.0,2940.0,51.1,-1.2038,4.0,6.9,13.31,-0.03163889,,5.76,11.9,0.1,
2014-09-01,777.0,2532.0,51.1,-1.7996,3.9,8.0,11.52,-0.07384745,,5.76,11.6,0.2,
2014-10-01,768.0,2565.0,50.8,-2.2428,3.8,7.7,13.92,0.04222973,,5.76,11.5,0.5,
2014-11-01,755.0,2548.0,50.3,-2.6928,3.7,7.2,13.36,-0.48543689,,5.51,11.7,0.0,
2014-12-01,740.0,2594.0,50.1,-3.3152,3.8,7.9,12.58,-0.39236479,,5.51,11.9,-0.2,
2015-01-01,727.0,2498.0,49.8,-4.3202,,,,,,5.51,,0.3,
2015-02-01,726.0,2465.0,49.9,-4.7976,2.5,,,-0.17033961,,5.51,,0.3,
2015-03-01,681.0,2431.0,50.1,-4.5603,0.8,5.6,13.13,-0.70384985,,5.3,10.2,1.2,
2015-04-01,667.0,2365.0,50.1,-4.5725,0.9,5.9,9.58,-0.59069917,,5.3,10.0,-0.5,
2015-05-01,688.0,2359.0,50.2,-4.607,1.1,6.1,9.92,-0.14044944,,5.05,10.1,-0.2,
2015-06-01,677.0,2135.0,50.2,-4.8135,1.3,6.8,11.57,0.21637996,,4.8,10.6,-0.2,
2015-07-01,614.0,2095.0,50.0,-5.3692,0.8,6.0,9.88,0.43182554,,4.8,10.5,0.0,
2015-08-01,568.0,1952.0,49.7,-5.9227,1.0,6.1,9.11,0.46221649,,4.55,10.8,0.3,
2015-09-01,571.0,1821.0,49.8,-5.945,0.8,5.7,6.83,-0.06419859,,4.55,10.9,0.5,
2015-10-01,555.0,1782.0,49.8,-5.9,0.7,5.6,9.34,-0.06423983,,4.3,11.0,0.1,
2015-11-01,509.0,1626.0,49.6,-5.9,0.7,6.2,10.8,0.01071352,,4.3,11.2,-0.3,
2015-12-01,565.0,1784.0,49.7,-5.9,0.5,5.9,6.81,-0.01071237,,4.3,11.1,0.0,
2016-01-01,555.0,1814.0,49.4,-5.3,,,,,0.6941899005654124,4.3,,0.5,
2016-02-01,612.0,1969.0,49.0,-4.9,2.0,,,6.25669595,-0.3892277169520171,4.3,,0.5,
2016-03-01,642.0,2136.0,50.2,-4.3,3.2,6.8,11.16,1.11917725,0.9247969114453471,4.3,10.5,1.6,
2016-04-01,773.5,2580.0,50.1,-3.4,2.9,6.0,10.08,0.28916143,-0.26204876204876204,4.3,10.1,-0.4,
2016-05-01,683.0,1978.0,50.1,-2.8,2.7,6.0,7.44,-0.00994233,-0.4539001371299508,4.3,10.0,-0.2,
2016-06-01,719.0,2337.0,50.0,-2.6,2.7,6.2,7.29,0.34801631,-0.1036227154046997,4.3,10.6,-0.5,
2016-07-01,763.5,2412.0,49.9,-1.7,3.6,6.0,3.89,-0.55489497,-0.3621355345493277,4.3,10.2,-0.1,
2016-08-01,859.5,2392.0,50.4,-0.8,4.2,6.3,8.19,0.03985652,0.31612147427232595,4.3,10.6,0.2,
2016-09-01,1011.5,2253.0,50.4,0.1,4.5,6.1,9.02,0.13944223,0.2611450887922777,4.3,10.7,0.1,
2016-10-01,1306.5,2600.0,51.2,1.2,4.8,6.1,8.75,0.20887209,0.5850169855176113,4.3,10.0,0.7,
2016-11-01,1294.5,3000.0,51.7,3.3,5.0,6.2,8.77,0.12903226,0.7872257435397367,4.3,10.8,-0.1,
2016-12-01,1177.0,2867.0,51.4,5.5,5.0,6.0,6.52,0.13877875,-0.094788561333775,4.3,10.9,0.1,
2017-01-01,1260.0,3369.0,51.3,6.9,,,,,0.06364002531791235,4.3,,0.2,
2017-02-01,1249.5,3471.0,51.6,7.8,6.3,,,-0.25737478,0.31231953801732426,4.3,,1.0,
